guide,ref,title,purpose,outcome,steps,form_data,notes
"Organisation Admin","1.1","Logging In","Authenticate as an organisation admin and open the admin dashboard.","Signed in; land on Admin Dashboard.","Open http://localhost:3001/?org=platform-demo | Enter Email address | Enter Password | Click Sign in","Email (e.g. helen.richardson@platform-demo.com); Password (e.g. Demo123!)","Replace URL for production. Source: 01-organisation-admin-guide.md"
"Organisation Admin","1.2","Understanding the Navigation","Reach all admin modules from the sidebar.","User knows menu items: Dashboard, Users, Directory, Org Chart, Calendar, Tasks, Reports, Performance, Announcements, Tickets, Knowledge Centre, Partnerships, Settings, Health & Safety, Activity Log.","Use left sidebar to open each area as needed","N/A","Informational. Source: 01-organisation-admin-guide.md"
"Organisation Admin","1.3","Switching Admin / Employee View","Preview the product as an employee without losing admin access.","View toggles between Admin and Employee.","Top bar: locate Admin / Employee toggle | Click Employee or Admin","N/A","Source: 01-organisation-admin-guide.md"
"Organisation Admin","2.1","Dashboard Components","See org-wide activity and risks at a glance.","Read activity feed, movements, task summary, celebrations, training gaps, quick links.","After login remain on Dashboard | Scroll to review widgets","N/A","Source: 01-organisation-admin-guide.md"
"Organisation Admin","2.2","Using Quick Actions","Jump to common work from the dashboard.","New user flow, task list, or employee profile opens.","Click Add new user OR View all tasks OR click a celebration card","N/A until destination screen","Source: 01-organisation-admin-guide.md"
"Organisation Admin","3.1","Viewing the User List","Find and open employee records.","Filtered or searched list of employees.","Sidebar: Users | Use search bar | Apply filters: department, division, status, access level | Click employee name","Search text; filter selections","Source: 01-organisation-admin-guide.md"
"Organisation Admin","3.2","Creating a New User","Add an employee record and optionally invite them.","User created; system may prompt to send invitation email.","Users | Add User | Complete fields | Save | Follow invitation prompt if shown","Required: First name; Last name; Email address (work); Country (e.g. United Kingdom); Access level (Organisation Admin, Manager, or UK Employee). Optional: Department; Division; Job title; Employee number; Date of birth; Gender; Marital status; Phone numbers; Address","Source: 01-organisation-admin-guide.md"
"Organisation Admin","3.3","Editing a User Profile","Maintain accurate HR, pay, leave, and compliance data.","Profile saved for that employee.","Users | Click employee | Tabs: Personal, Employment, Pay, Leave, Documents, Emergency contacts, Notes, Training, Health & Safety | Edit on a section | Save","Tab-specific fields as shown in UI","Source: 01-organisation-admin-guide.md"
"Organisation Admin","3.4","Inviting a User","Send password-setup email.","Invitation email with secure link sent.","Users | Open user profile | Click Send Invitation (when shown)","Uses profile email; no separate form in guide","Source: 01-organisation-admin-guide.md"
"Organisation Admin","3.5","Suspending or Removing a User","Block access or start leaver process.","Suspended and/or offboarding started with checklist.","Open user profile | Suspend and/or Offboard | When prompted: enter leaving date and termination reason","Leaving date; termination reason (offboarding)","Source: 01-organisation-admin-guide.md"
"Organisation Admin","4.1","Using the Directory","Look up colleagues and open profiles.","Profile view for selected person.","Directory | Browse or search | Click person","Search/browse only","Source: 01-organisation-admin-guide.md"
